Usename,Time,Like_count,Floor_number,Sourse,Comments
小葵de挽辞,Thu Mar 12 23:44:44 +0800 2020,6,3928,,"""抛开一切，他表现力很强，温柔顾大局，还是一样不要带有色眼镜看他，这样很不公平，如果是真的不喜欢，您别伤害，他在粉丝眼里还是宝贝，没有谁愿意自己的宝贝伤心受伤啊，希望世界多点善意吧"""
拂雪问初岫,Thu Mar 12 21:18:11 +0800 2020,4,786,,"""热爱无罪，不要因为刻板印象而去判定一个人。"""
5G冲浪的猪咪,Thu Mar 12 23:15:09 +0800 2020,5,3589,,"""其实，刚开始粉上他的时候，开始了解他，发现他其实是那么好一个人，尤其是内在，温柔善良有教养，但是最吸引我的还是舞台上展现魅力的他"""
奎葵的music冰,Thu Mar 12 21:19:47 +0800 2020,3,805,,"""热爱无罪。希望他和大家的热爱都可以坚持到底 梦想也终将会实现"""
活泼可爱的妹妹,Thu Mar 12 23:46:44 +0800 2020,3,3948,,"""我真的心疼哭了"""
哈圈,Thu Mar 12 21:04:24 +0800 2020,1,613,,"""蔡徐坤加油💪"""
slowdownmydear,Thu Mar 12 20:08:55 +0800 2020,3,118,,"""太棒了"""
肥肥鱼是小葵姐姐,Thu Mar 12 22:20:08 +0800 2020,3,2843,,"""多了解蔡徐坤，是个宝藏男孩"""
赵先生谈情说爱,Thu Mar 12 21:34:30 +0800 2020,6,1218,,"""不，你打篮球超帅，唱，跳，rap"""
·镜哥顶级难泡·,Thu Mar 12 20:05:06 +0800 2020,4,55,,"""蔡pd！大家重新认识一下吧！以全新的身份！"""
坤de桔纸水,Thu Mar 12 20:04:26 +0800 2020,3,17,,"""流言蜚语，不改热爱！别着急回应所有的声音，你的作品是舞台。 做好准备的人，一定会得到一颗糖！"""
最好翮,Thu Mar 12 23:44:18 +0800 2020,5,3920,,"""那些黑肖战  然后反过来再说觉得蔡徐坤也不错的人挺ex的  墙头草  再有下一个被黑的明星时，又觉得肖战其实也不错了   """
蔡学长的保温瓶,Thu Mar 12 22:55:59 +0800 2020,3,3388,,"""既专业又细心，可爱又调皮"""
间歇性减肥选手-三分钟热度,Thu Mar 12 22:53:17 +0800 2020,6,3247,,"""其实我对蔡徐坤没有什么大感觉 但是因为室友的原因，（室友当时天天在寝室看，所以我有问她对于蔡徐坤的看法）会觉得他是个不错的人，比赛的时候很照大家 所以当时其实非常不能接受总有人 拿唱跳rap篮球 恶搞，有些人可能没有恶意，但有些人真的非常过分。 但是看到他这样说出来 真的觉得他非常善良"""
一一660066,Thu Mar 12 22:22:23 +0800 2020,2,2880,,"""热血依旧，初心不改"""
雪汐宝贝,Thu Mar 12 22:15:28 +0800 2020,2,2765,,"""你所有的样子，我都好喜欢@蔡徐坤 """
我没烟花绚丽,Thu Mar 12 22:07:17 +0800 2020,3,2476,,"""其实小蔡本身就没什么实质性黑点吧 所以一时的玩梗也不会一直持续 现在看就是挺好的一个小朋友"""
