Usename,Time,Like_count,Floor_number,Sourse,Comments
呦呦鹿鸣258,Sun Mar 15 13:45:14 +0800 2020,8,1457,,"""大厂工友一出手，热搜必须搞到手"""
蔡徐坤怀里的小猫咪0802,Sun Mar 15 13:35:57 +0800 2020,0,131,,"""新采访！！！"""
KUN上葵·奎,Sun Mar 15 13:46:11 +0800 2020,6,1693,,"""蔡PD严格蔡学长可爱"""
花花花花花海吖,Sun Mar 15 13:45:38 +0800 2020,6,1549,,"""哈哈哈哈哈哈哈哈我可爱的哥哥啊"""
是你眼中的星星啊,Sun Mar 15 13:40:05 +0800 2020,7,386,,"""严格又暖心的蔡pd  网页链接"""
原味小菜,Sun Mar 15 13:37:38 +0800 2020,8,236,,"""蔡代表我来啦"""
白月光_坤,Sun Mar 15 14:10:30 +0800 2020,6,4722,,"""还说自己是5G，哈哈哈，好可爱"""
有没有看到小葵啊,Sun Mar 15 14:57:09 +0800 2020,0,6770,,"""或许我可以dream一下女团舞了"""
丫丫酱_团纸,Sun Mar 15 14:29:03 +0800 2020,4,5803,,"""哈哈哈哈请让蔡徐坤冲呀上热搜！！！"""
甜蔡奎葵,Sun Mar 15 14:45:27 +0800 2020,3,6411,,"""蔡代表你也太搞笑了"""
Fancy_Kun,Sun Mar 15 14:42:04 +0800 2020,3,6296,,"""哇！新采访！新的快乐！"""
北小小k82,Sun Mar 15 14:41:26 +0800 2020,3,6270,,"""冲呀"""
家有蔡宝初长成_暖暖酱,Sun Mar 15 14:37:32 +0800 2020,3,6138,,"""可可爱爱"""
桥儿ikun,Sun Mar 15 14:36:29 +0800 2020,3,6099,,"""哈哈哈哈哈哈哈哈哈哈哈哈抱歉，我没忍住坤哥你要加油"""
蜜桃KUN,Sun Mar 15 14:36:11 +0800 2020,3,6081,,"""哈哈哈哈哈哈哈哈哈哈哈哈古朴哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈"""
猪光宝气核桃包,Sun Mar 15 14:35:44 +0800 2020,3,6063,,"""哈哈哈哈哈话题带起来#蔡徐坤冲呀# """
爱芒果冰的加菲猫,Sun Mar 15 14:35:34 +0800 2020,3,6051,,"""有梗，蔡徐坤好好笑"""
萱很爱困,Sun Mar 15 14:33:25 +0800 2020,3,5967,,"""蔡代表你好有梗哦"""
Ikun是我唯一的名字,Sun Mar 15 14:19:13 +0800 2020,3,5299,,"""哈哈哈哈哈哈超有梗的采访@蔡徐坤"""
蹦哒的珠子,Sun Mar 15 14:16:56 +0800 2020,3,5161,,"""哈哈哈哈哈哈哈哈哈哈，又酷又可爱"""
qpencil,Sun Mar 15 14:11:52 +0800 2020,3,4814,,"""蔡徐坤冲呀 是什么东西！"""
逐風執事,Sun Mar 15 13:53:54 +0800 2020,4,3005,,"""你们小编都是这么欺负蔡PD的吗毫不留情的吐槽哈哈哈哈哈哈哈哈"""
小球-小葵大奎,Sun Mar 15 13:53:48 +0800 2020,2,2992,,"""严格又暖心的蔡PD"""
40K纯金,Sun Mar 15 13:50:21 +0800 2020,4,2477,,"""哇，又有采访了，看蔡徐坤采访是最舒适的，节奏很好表情温柔语气诚恳，现在也越来越好玩了。"""
i菜菜花园,Sun Mar 15 13:48:33 +0800 2020,3,2159,,"""蔡徐坤冲鸭"""
吴阿灿KunKun,Sun Mar 15 14:21:27 +0800 2020,6,5423,,"""我咋感觉我们坤越来越逗了呢，说实话吧你其实也是个沙雕吧哈哈哈哈#蔡徐坤冲呀# （这个话题给你安排上了哦）"""
cxkwa,Sun Mar 15 16:44:12 +0800 2020,3,8326,,"""“大厂工友一出手，热搜必须搞到手”#蔡徐坤 冲呀#"""
稳说了算,Sun Mar 15 16:30:20 +0800 2020,3,8201,,"""认真敬业的蔡PD冲压"""
皮三嘻,Sun Mar 15 16:26:26 +0800 2020,2,8164,,"""好有梗好有梗笑死我了"""
爱发呆的海棠,Sun Mar 15 16:26:24 +0800 2020,3,8163,,"""#蔡徐坤点评# 是有梗又专业的蔡代表呀！"""
皮三嘻,Sun Mar 15 16:21:02 +0800 2020,2,8114,,"""啊啊啊啊我速速赶来"""
八月是你的小狮子,Sun Mar 15 16:09:46 +0800 2020,2,7996,,"""这样的采访可以多来嗲吗"""
与KUN--那么近那么远,Sun Mar 15 16:05:01 +0800 2020,3,7925,,"""他是在认真的土@蔡徐坤"""
802号海洋之心TiAmo,Sun Mar 15 15:53:36 +0800 2020,2,7782,,"""哈哈哈可爱的呀"""
单相思念,Sun Mar 15 15:49:23 +0800 2020,2,7725,,"""可爱的"""
802号海洋之心TiAmo,Sun Mar 15 15:37:05 +0800 2020,3,7576,,"""明明很可爱的小蔡，哪有严厉啦，那么温柔@蔡徐坤"""
喜欢菜菜的爱困,Sun Mar 15 15:25:47 +0800 2020,2,7395,,"""好可爱的蔡PD"""
八月循环_,Sun Mar 15 15:23:56 +0800 2020,2,7353,,"""可以看见女团舞吗"""
星葵迷雾,Sun Mar 15 15:22:22 +0800 2020,2,7326,,"""哈哈哈哈，可爱的蔡pd！"""
Kunkun麻麻歌迷,Sun Mar 15 14:48:56 +0800 2020,3,6513,,"""#蔡徐坤冲呀# 这个可以有@蔡徐坤 #青春有你# 2"""
坤哥葵里奎气,Sun Mar 15 14:10:54 +0800 2020,2,4749,,""""""
爱护小葵小分队,Sun Mar 15 14:09:26 +0800 2020,2,4646,,"""专业的蔡PD"""
蒙麻小白,Sun Mar 15 14:04:45 +0800 2020,3,4270,,"""蔡PD最近的梗有蛮多的@蔡徐坤"""
第一次追星坤坤,Sun Mar 15 14:04:24 +0800 2020,3,4233,,"""哈哈哈"""
女友在线冲浪,Sun Mar 15 14:04:14 +0800 2020,2,4221,,"""哈哈哈哈哈"""
