Usename,Time,Like_count,Floor_number,Sourse,Comments
kane_堀猫,Thu Mar 26 19:50:46 +0800 2020,1,414,,"""哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈工作不易被迫卖萌"""
August落落,Thu Mar 26 19:50:29 +0800 2020,1,376,,"""哈哈哈哈，太可爱了吧"""
KUN·最爱大奎,Thu Mar 26 19:50:25 +0800 2020,1,365,,"""妈呀！蔡徐坤太可爱了！我好喜欢！"""
甜柚超爱的奎葵,Thu Mar 26 19:50:22 +0800 2020,1,356,,"""哈哈哈哈哈哈哈哈哈哈哈哈好可爱"""
溜了溜了土豆,Thu Mar 26 19:50:19 +0800 2020,1,346,,"""哈哈哈哈哈就是这里超可爱的"""
十个冰淇淋,Thu Mar 26 19:49:29 +0800 2020,1,250,,"""看不见我看不见我哈哈哈哈哈哈哈太可爱了"""
·802LY·U星葵倾·,Thu Mar 26 19:48:46 +0800 2020,1,175,,"""蔡代表太可爱啦！！！"""
坤de桔纸水,Thu Mar 26 19:48:43 +0800 2020,1,165,,"""太可爱了吧"""
夏时_l,Thu Mar 26 19:48:36 +0800 2020,1,153,,"""哈哈哈哈哈哈哈哈哈哈哈有被可爱到"""
清水悠哉,Thu Mar 26 19:48:10 +0800 2020,1,91,,"""哈哈哈，太为难蔡pd了吧"""
小菜芯冰冰冻,Thu Mar 26 19:48:01 +0800 2020,1,70,,"""这个蔡pd好可爱哦"""
zxy大昀,Thu Mar 26 19:46:10 +0800 2020,1,11,,"""期待今晚的蔡学长"""
Yaxi全世界,Fri Mar 27 08:14:41 +0800 2020,1,6060,,"""是不是有点傻的可爱"""
菜菜爱吃的小牛肉,Fri Mar 27 02:40:01 +0800 2020,2,5618,,"""老蔡头你抬头纹都出来了（不是"""
菜包丝啊,Thu Mar 26 23:17:43 +0800 2020,1,5088,,"""今天好想置顶这个视频哈哈哈哈哈，我准备笑一周@蔡徐坤"""
wwllzz77,Thu Mar 26 23:16:44 +0800 2020,1,5084,,"""好可爱好可爱！心都融化了！"""
坤and圈儿姐,Thu Mar 26 22:03:19 +0800 2020,1,3834,,"""啊！我可爱的小葵宝贝"""
Bulingbuling二毛,Thu Mar 26 21:28:03 +0800 2020,6,2965,,"""我坤内心OS：就是有点不好意思，真的很尴尬啊！不能太油腻"""
机智的李敏子ikun,Thu Mar 26 19:51:55 +0800 2020,1,557,,"""我没了"""
程程赚大钱养菜菜,Thu Mar 26 19:50:47 +0800 2020,1,421,,"""哈哈哈"""
喻思琪ikun,Thu Mar 26 19:50:42 +0800 2020,1,407,,"""我家猪猪太难了"""
灰小泡仔,Thu Mar 26 19:50:42 +0800 2020,1,404,,"""蔡徐坤太可爱啦"""
爱菜菜的CC,Thu Mar 26 19:50:34 +0800 2020,1,387,,"""#蔡徐坤被迫营业#"""
郡主IKUN,Thu Mar 26 19:50:16 +0800 2020,1,339,,"""哈哈哈哈哈好可爱呀"""
Kookoyio,Fri Mar 27 14:51:36 +0800 2020,1,6295,,"""我去无语 真的很可爱！！小可爱本人"""
肥鹤要一直努力鸭,Fri Mar 27 13:56:14 +0800 2020,1,6286,,"""太为难了蔡学长"""
嗯是我Seven,Fri Mar 27 12:47:12 +0800 2020,1,6265,,"""蔡大爷的灵魂按耐不住了"""
小菜的黎魂SOLO,Fri Mar 27 11:17:15 +0800 2020,1,6220,,"""这个工作好辛苦哦 蔡PD好可爱"""
请爱死坤坤,Fri Mar 27 00:05:23 +0800 2020,1,5372,,"""太可爱了吧！"""
1坤坤kun,Thu Mar 26 23:48:18 +0800 2020,1,5291,,"""发糖了，甜死我了，快到妈妈怀里来"""
蔡哥哥的小公主呀,Thu Mar 26 23:31:56 +0800 2020,1,5218,,"""蔡徐坤！！！"""
helenhaha,Thu Mar 26 23:31:12 +0800 2020,1,5215,,"""我要被蔡徐坤可爱晕了啊啊啊！！！"""
v粉坤only,Thu Mar 26 23:29:51 +0800 2020,1,5210,,"""好可爱"""
易碎双鱼,Thu Mar 26 23:23:57 +0800 2020,1,5148,,"""谁说发糖了"""
蔡先生的小扇子0802,Thu Mar 26 23:17:24 +0800 2020,1,5086,,"""#蔡徐坤被迫营业# 好可爱"""
超级爱菜菜,Thu Mar 26 23:07:17 +0800 2020,1,4991,,"""好可爱啊"""
1234kun,Thu Mar 26 23:00:06 +0800 2020,1,4906,,"""为什么可以这么Q"""
慌慌不害怕,Thu Mar 26 22:40:15 +0800 2020,1,4588,,"""林导师可爱！唱的太好听了！！！！"""
凤明李叫我,Thu Mar 26 22:13:45 +0800 2020,1,4084,,"""hhhhhhh蔡老头太可爱啦"""
98年徐坤牌雪碧,Thu Mar 26 22:11:02 +0800 2020,1,4020,,"""他太可爱了！！！"""
困困熊叭,Thu Mar 26 22:10:29 +0800 2020,1,4001,,"""太可爱了"""
心照不宣977,Thu Mar 26 22:10:13 +0800 2020,1,3999,,"""我仿佛看到了蔡大爷上线了"""
言冰云1991,Thu Mar 26 22:09:08 +0800 2020,1,3976,,"""哈哈哈 这个工作好辛苦😂坤坤太难了"""
没有海绵的宝宝zyq,Thu Mar 26 22:09:07 +0800 2020,1,3974,,"""被迫营业 太可爱了"""
sunny晴天你好,Thu Mar 26 21:51:57 +0800 2020,1,3614,,"""哈哈哈哈哈蔡徐坤被迫营业"""
晴晴_KUN,Thu Mar 26 21:33:20 +0800 2020,1,3110,,"""轻轻的亲亲，紧紧闭着眼睛~ @蔡徐坤 """
violetYAYAYA,Thu Mar 26 21:32:40 +0800 2020,1,3076,,"""蔡徐坤你好可爱啊，摸摸头发"""
Shirleynkun,Thu Mar 26 21:31:17 +0800 2020,1,3033,,"""#青2青春制作人代表蔡徐坤# 哈哈哈蔡徐坤太可爱了"""
1坤恋喵,Thu Mar 26 21:21:00 +0800 2020,1,2715,,"""啊啊啊啊啊啊啊啊好喜欢好喜欢 坤哥太可爱"""
CX坤眼里有星星,Thu Mar 26 21:16:39 +0800 2020,2,2580,,"""#蔡徐坤被迫营业# 哈哈哈哈蔡pd害羞的低下头摆剪刀手✌🏻 @蔡徐坤"""
物质男孩_陈泡泡,Thu Mar 26 21:10:28 +0800 2020,1,2356,,"""大家能帮帮夏研妹妹投票么"""
lemon梦大虫,Thu Mar 26 20:48:51 +0800 2020,1,1940,,"""蔡徐坤真的太可爱了"""
苦瓜很甜吖,Thu Mar 26 20:39:56 +0800 2020,1,1830,,"""@干吃红糖_ 哈哈哈哈哈哈哈我看了十遍"""
你是我的执迷,Thu Mar 26 20:04:49 +0800 2020,1,1324,,"""哈哈哈"""
往后余生都只有蔡徐坤一个人,Thu Mar 26 20:03:50 +0800 2020,1,1302,,"""比剪刀手的蔡pd太可爱啦"""
温迪时代,Thu Mar 26 20:03:17 +0800 2020,1,1284,,"""怎么可以这么可爱"""
敏jia_007,Thu Mar 26 20:02:48 +0800 2020,1,1274,,""""""
林深雾起ECHO-8s,Thu Mar 26 20:01:12 +0800 2020,1,1226,,"""太可爱哦！"""
何静楠,Thu Mar 26 19:57:32 +0800 2020,1,1044,,"""我可以，啊啊啊啊啊啊啊啊啊！！！！太可爱了吧（蔡徐坤语气）"""
有朔有笑199,Thu Mar 26 19:55:39 +0800 2020,1,923,,"""哈哈哈哈哈哈………实在忍不住要笑出声……"""
何静楠,Thu Mar 26 19:54:22 +0800 2020,1,815,,"""啊啊啊啊啊啊啊啊啊啊啊啊啊我可以啊啊啊啊啊啊啊啊啊啊啊啊啊好辛苦啊啊啊啊啊"""
迷失方向的梦寐,Thu Mar 26 19:53:18 +0800 2020,1,710,,"""蔡徐坤怎么办我都爱"""
甜葵·樱仔,Thu Mar 26 19:53:01 +0800 2020,1,669,,"""哈哈哈哈哈哈蔡徐坤太可爱了"""
困酣娇眼dai,Thu Mar 26 19:48:21 +0800 2020,1,110,,"""台下爱困喊的好生猛哈哈哈哈哈哈哈"""
August_蓝玫瑰,Thu Apr 02 09:50:01 +0800 2020,0,6452,,"""哈哈"""
Zhang_子诺诺诺,Sat Mar 28 21:22:48 +0800 2020,0,6413,,"""哈哈哈，被林宥嘉老师反cue了😂😂😂超级被迫，但还是一脸尴尬的做了"""
小白鼠养喵,Sat Mar 28 09:57:02 +0800 2020,0,6382,,"""#青春有你# 2 蔡徐坤 cxk 巨C 选秀之神 #青2青春制作人代表蔡徐坤#"""
XU-YUE-YAN,Sat Mar 28 09:44:23 +0800 2020,0,6374,,"""#青2青春制作人代表蔡徐坤# 今晚又有蔡PD看了🤗@蔡徐坤"""
AriesJessica,Sat Mar 28 04:58:25 +0800 2020,0,6359,,"""蔡徐坤拒絕可愛，但是就是很可愛，被前輩cue，又不敢拒絕。"""
小葵渡成葵花妖,Fri Mar 27 19:30:21 +0800 2020,0,6325,,"""不行了不行了，挖坑自己跳，可爱fong了。哈哈哈哈哈 cxk cut💖 #蔡徐坤被迫营业#"""
Bbblll里,Fri Mar 27 14:49:27 +0800 2020,2,6294,,"""林宥嘉随便一唱就好好好好好好好听！！！！"""
一只小沙鸥,Fri Mar 27 12:40:11 +0800 2020,0,6260,,"""可爱"""
大旭旭上火,Fri Mar 27 12:21:35 +0800 2020,0,6254,,"""这个也太可爱了吧"""
喜欢蔡蔡的渣渣,Fri Mar 27 12:13:37 +0800 2020,0,6246,,"""他从头到脚让我感觉优越……头身比……啊啊啊啊啊啊啊啊啊啊啊啊"""
