Usename,Time,Like_count,Floor_number,Sourse,Comments
屋瓦上的猫,Mon Mar 16 17:51:39 +0800 2020,1,118,,"""比年轻的时候漂亮有魅力"""
ikun爱Sunnee,Mon Mar 16 17:40:58 +0800 2020,4,79,,"""因为没有真正的感同身受，所以他们不会停止收手"""
抹茶莉子,Tue Mar 17 02:03:31 +0800 2020,3,486,,"""我能听ella再唠半小时"""
浓汤洗脸,Mon Mar 16 23:27:00 +0800 2020,3,443,,"""前排表白我们小太阳🔆 桦！还是一如既往地没有表情管理呢"""
小夏dererer,Mon Mar 16 20:31:13 +0800 2020,4,356,,"""你的姐妹昨晚3点钟还在网上冲浪"""
懵曼chch的一天,Mon Mar 16 18:33:08 +0800 2020,4,223,,"""还是最喜欢ella"""
一往无前皮皮酱,Mon Mar 16 18:06:14 +0800 2020,3,178,,"""哈哈哈哈哈姐妹们这个采访一定要看完哈哈哈哈哈哈加滑你真的是个很有梗的戏精诶"""
zhangliiin_,Mon Mar 16 18:02:06 +0800 2020,3,165,,"""小品女王陈嘉桦"""
qzmr是你,Mon Mar 16 17:48:36 +0800 2020,3,102,,"""从来不看这些选秀节目，因为几个导师看看，挺有意思的，蔡徐坤厅暖的，就一大男孩"""
陈平凡_,Mon Mar 16 17:37:39 +0800 2020,4,66,,"""哈哈哈哈ella姐真的好搞笑一女的"""
JerryZhi_,Tue Mar 17 08:32:28 +0800 2020,3,510,,"""she是中国女团的巅峰"""
阮宁阿_,Mon Mar 16 23:55:00 +0800 2020,2,460,,"""ella"""
五年建筑头别秃-,Mon Mar 16 18:54:15 +0800 2020,6,261,,"""评论黑转粉的，你当初为什么要跟风黑人家，你啥也不是，你就是墙头草"""
学设计的V,Mon Mar 16 18:51:50 +0800 2020,3,257,,"""ella也太可爱了……"""
Aurora_dh,Mon Mar 16 18:42:21 +0800 2020,7,237,,"""对ella老师路转粉，对小蔡路转粉"""
开货车的吴师傅,Mon Mar 16 18:09:44 +0800 2020,5,183,,"""Ella把采访的节奏完全变成了talk show"""
老友将芜爱发呆,Tue Mar 17 11:51:24 +0800 2020,1,597,,"""小时候好喜欢ella  元气满满！现在喜欢小坤，很开心有合作 嘿嘿"""
改名不改本命,Tue Mar 17 09:38:00 +0800 2020,1,532,,"""🍑请到ella导师是最正确的选择之一。"""
暖暖是Nora,Tue Mar 17 01:05:25 +0800 2020,0,479,,"""哈哈哈好可爱"""
sunwyrow,Mon Mar 16 18:54:17 +0800 2020,3,263,,"""ella真的很可爱"""
JONASXLIN,Mon Mar 16 18:54:16 +0800 2020,3,262,,"""ella太可爱了"""
一颗甜糖watermelon,Mon Mar 16 18:19:21 +0800 2020,4,204,,"""Ella姐真好"""
人生大戏,Mon Mar 16 17:37:27 +0800 2020,1,65,,"""感谢分享"""
小仙女吃不饱,Mon Mar 16 17:32:22 +0800 2020,0,17,,""""""
来眨眼睛呀,Tue Mar 17 09:40:33 +0800 2020,1,533,,"""从星动亚洲开始关注蔡徐坤，很不错的小孩"""
遇见你之前my,Tue Mar 17 09:05:03 +0800 2020,1,521,,"""都很棒的，都不容易，蔡徐坤很温柔也很专业"""
KUN-徐冉,Tue Mar 17 08:57:25 +0800 2020,1,517,,"""蔡PD辛苦啦！我爱你💕@蔡徐坤"""
凯瑟琳nana,Mon Mar 16 17:53:14 +0800 2020,4,128,,"""键盘侠们可不觉得自己是在网络暴力"""
奶味点点,Mon Mar 16 17:50:44 +0800 2020,3,114,,"""ella真的很好"""
