Usename,Time,Like_count,Floor_number,Sourse,Comments
彭亦弦,Fri Apr 03 11:57:32 +0800 2020,0,1903,,"""从第一秒可爱到最后一秒"""
太可爱被抓了起来,Fri Apr 03 11:49:31 +0800 2020,0,1881,,"""嘿嘿我笑的像个傻子又被蔡徐坤甜到叻！"""
小菜不吃糖,Fri Apr 03 11:46:06 +0800 2020,0,1874,,"""我的妈呀，好甜啊@蔡徐坤 #蔡徐坤c位出道两周年快乐#"""
Captian_v,Fri Apr 03 11:24:12 +0800 2020,0,1838,,"""妈呀太可爱了宝宝"""
皮卡球i,Fri Apr 03 11:17:02 +0800 2020,0,1820,,"""太可爱了！！！呜呜呜呜呜现场的坤子就是这么这么可爱"""
坤家喵七七,Fri Apr 03 11:01:06 +0800 2020,0,1790,,"""太可爱啦啦！！！！！"""
蔡老板上菜,Fri Apr 03 10:59:22 +0800 2020,0,1783,,"""好甜"""
Team_K_蔡小坤Luis,Fri Apr 03 10:59:20 +0800 2020,0,1782,,"""超可爱的呢"""
蔡徐坤的困卜卜,Fri Apr 03 10:51:46 +0800 2020,0,1751,,"""🙊太甜了"""
miu喵了个咪,Fri Apr 03 10:48:59 +0800 2020,0,1741,,"""好可爱好可爱啊呜呜呜呜呜呜是可爱宝宝呀"""
亿分之一,Fri Apr 03 10:45:49 +0800 2020,0,1725,,"""太可爱了"""
喂喂喂是坤哥啊,Fri Apr 03 10:36:34 +0800 2020,0,1685,,"""好多可爱的"""
Cccciopz,Fri Apr 03 10:29:19 +0800 2020,0,1648,,"""他喝醉了？？"""
超負荷文本,Fri Apr 03 10:13:08 +0800 2020,0,1561,,"""天呐我为什么错过了这个 菜菜主持的小动作明明很多很欢乐啊啊啊"""
神气的小肉肉,Fri Apr 03 10:09:18 +0800 2020,0,1554,,"""#蔡徐坤 青你2制作人代表# 蔡徐坤好温柔[淚]"""
佰茶Q,Fri Apr 03 10:07:59 +0800 2020,0,1549,,"""💛💛💛"""
怡然自得6161,Fri Apr 03 10:00:15 +0800 2020,0,1520,,"""蔡徐坤"""
我是蔡老头老婆,Fri Apr 03 09:55:34 +0800 2020,0,1498,,"""可爱"""
1998年8月2日,Fri Apr 03 09:52:21 +0800 2020,0,1485,,"""天哪呜呜呜呜小宝真的好开心啊呜呜呜呜呜呜蔡徐坤"""
一颗豆君,Fri Apr 03 09:46:54 +0800 2020,0,1467,,"""这到底是什么绝世小可爱"""
坤坤的小豆豆,Fri Apr 03 09:42:51 +0800 2020,0,1449,,"""因为坤宝桑心音太过魅惑，怕大家罩不住，AK用开水壶遮掩了嘛"""
你是天赐之作,Fri Apr 03 09:34:36 +0800 2020,0,1420,,"""我来了"""
地表牙最阔爱,Fri Apr 03 09:25:05 +0800 2020,0,1388,,"""我宝贝好开心"""
Ciel蓝zzz,Fri Apr 03 09:24:47 +0800 2020,0,1387,,"""呜呜呜我又回想起来很多了"""
August_白色情节,Fri Apr 03 09:24:42 +0800 2020,0,1386,,"""真的很皮也很绅士"""
蓝莓马芬蛋糕,Fri Apr 03 09:24:25 +0800 2020,0,1385,,"""在现场无论蔡徐坤说什么，做什么动作，我们都超级兴奋，都是尖叫的"""
坤的小Yuer,Fri Apr 03 09:22:52 +0800 2020,0,1380,,"""爱了，我的pd"""
蔡徐坤先生的小姑娘,Fri Apr 03 09:22:22 +0800 2020,0,1376,,"""@蔡氏女友 ！"""
小葵甜酱,Fri Apr 03 09:22:14 +0800 2020,0,1373,,"""真好啊宝宝这和昨天带眼镜的是一个人吗"""
困困哥哥·,Fri Apr 03 09:16:30 +0800 2020,0,1346,,"""我的哥哥啊太甜了"""
坤坤比心小宝贝,Fri Apr 03 09:10:50 +0800 2020,0,1330,,"""笑死了，下面AK都好配合！！！"""
众慕葵葵k,Fri Apr 03 09:09:47 +0800 2020,0,1327,,"""马住！可爱的困按的爱困"""
心尖上的刺猬k,Fri Apr 03 09:08:11 +0800 2020,0,1317,,""""""
为你拯救银河系_杨旖,Fri Apr 03 09:05:40 +0800 2020,0,1304,,"""2020最后一次见的宝贝，下一次见面遥遥无期@蔡徐坤"""
茶司野客,Fri Apr 03 08:59:05 +0800 2020,0,1276,,"""爱困姐姐好宠困困啊甜死我了！"""
ikun鲨鱼的角,Fri Apr 03 08:56:13 +0800 2020,0,1256,,""""""
一只奶葵9802,Fri Apr 03 08:56:11 +0800 2020,0,1255,,"""宝贝笑好甜好甜"""
困的小呢喃,Fri Apr 03 08:55:59 +0800 2020,0,1253,,"""KUN&IKUN szd！"""
伴KUN远航V,Fri Apr 03 08:54:32 +0800 2020,0,1246,,"""太可爱太甜了太甜了"""
·众慕葵奎·,Fri Apr 03 08:52:19 +0800 2020,0,1228,,"""天呐 好甜好甜好甜"""
满足所有幻想K,Fri Apr 03 08:49:29 +0800 2020,0,1211,,"""啊 我怎么这么喜欢这个小孩啊"""
咬一口奎葵酱-,Fri Apr 03 08:47:38 +0800 2020,0,1200,,"""甜得让我想咬一口"""
小雪宝贝19950406,Fri Apr 03 08:46:16 +0800 2020,0,1195,,"""我宝贝天天这样笑就好"""
FFkunkun_,Fri Apr 03 08:45:58 +0800 2020,0,1193,,"""好甜哦"""
Reloaded_uu,Fri Apr 03 08:45:25 +0800 2020,0,1191,,"""太甜了吧"""
-奈忒·SR-,Fri Apr 03 08:39:51 +0800 2020,0,1160,,"""小表情小动作啊🉑️"""
恋菜星宿,Fri Apr 03 08:38:47 +0800 2020,0,1151,,"""好可爱呀呀呀!"""
我是你的小猫咪喵,Fri Apr 03 08:30:04 +0800 2020,0,1103,,"""#青2青春制作人代表蔡徐坤# 自己的孩子当然自己宠@蔡徐坤"""
我爱猪咪眯,Fri Apr 03 08:25:47 +0800 2020,0,1067,,"""啊啊啊啊啊啊啊啊啊啊啊啊好甜"""
涐浮烟染,Fri Apr 03 08:24:09 +0800 2020,0,1050,,"""好可爱"""
晶猪菜困,Fri Apr 03 08:24:00 +0800 2020,0,1048,,"""好可爱啊啊啊啊"""
巨星浮烟染_,Fri Apr 03 08:23:00 +0800 2020,0,1037,,"""妈妈我恋爱了"""
甜味奶酪啊,Fri Apr 03 08:22:49 +0800 2020,0,1036,,"""宝贝真的很爱笑啊 太可爱了"""
蔡家的62滢,Fri Apr 03 08:18:35 +0800 2020,0,1012,,"""这是谁家的甜豆"""
苏玛利Qqi,Fri Apr 03 08:17:31 +0800 2020,0,1009,,"""蔡徐坤"""
冰淇淋蛋糕16,Fri Apr 03 08:17:16 +0800 2020,0,1007,,"""好可爱蔡徐坤#青2青春制作人代表蔡徐坤#"""
秋宴之语,Fri Apr 03 08:15:10 +0800 2020,0,992,,""""""
香香的1996,Fri Apr 03 08:14:44 +0800 2020,0,987,,"""好喜欢💕"""
傻裘球,Fri Apr 03 08:14:04 +0800 2020,0,979,,"""在你怀里，枳可成橘"""
哈莉奎崽·,Fri Apr 03 08:11:56 +0800 2020,0,954,,"""啊啊啊啊啊啊啊啊老公早上好!"""
Mathilda嘟嘟嘟,Fri Apr 03 08:09:48 +0800 2020,0,938,,"""呜呜呜呜呜呜呜哥哥"""
大西几的小小猫咪,Fri Apr 03 08:09:38 +0800 2020,0,936,,"""转发微博"""
相信能吃到这颗糖,Fri Apr 03 08:09:04 +0800 2020,0,934,,"""#青2青春制作人代表蔡徐坤# 未播部分，永远比正片好看"""
BAOBAODARENM,Fri Apr 03 08:08:15 +0800 2020,0,931,,"""啊啊啊啊啊啊啊我化了我化了我"""
迷恋蔡先生body的夏栀,Fri Apr 03 08:07:49 +0800 2020,0,929,,"""啊啊啊啊啊啊他好开心"""
Wuli坤崽是性感的奶孩,Fri Apr 03 08:07:07 +0800 2020,0,925,,"""太甜了！！！"""
明眸慕C,Fri Apr 03 08:06:52 +0800 2020,0,924,,""""""
裴元喵mew,Fri Apr 03 08:05:20 +0800 2020,0,918,,"""啊啊啊啊啊啊啊啊阿好可爱！！！！！"""
输液病奎-,Fri Apr 03 08:02:55 +0800 2020,0,906,,"""我爱宝贝"""
小粥拌酱,Fri Apr 03 07:59:42 +0800 2020,0,879,,"""啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊真的好可爱啊"""
Ikun_Emily,Fri Apr 03 07:58:47 +0800 2020,0,872,,"""蔡徐坤又甜又可爱！"""
摩卡摩卡哇咔咔,Fri Apr 03 07:57:06 +0800 2020,0,857,,"""好可爱好可爱好可爱！"""
咻咻咻咻咻景儿,Fri Apr 03 07:57:01 +0800 2020,0,856,,"""太可了"""
葵酱-SOBER,Fri Apr 03 07:56:07 +0800 2020,0,850,,""""""
雅柠想睡觉,Fri Apr 03 07:53:33 +0800 2020,0,824,,"""好可爱！！！！"""
菜菜和铃铛,Fri Apr 03 07:52:48 +0800 2020,0,818,,"""好甜！！"""
