,Usename,Time,Like_count,Comments,blogger,weight,sentiments,isFan
59,池欢爱惨肖战,Thu Mar 12 22:16:36 +0800 2020,66,"""你好快！！！""",qnjf,33.0,0.6989268836638077,False
60,·LovingStrangers,Wed Mar 18 12:33:09 +0800 2020,62,"""用舞台来回应声音""",fashion,31.0,0.5769503677796565,False
61,成本个8,Thu Mar 12 22:13:29 +0800 2020,59,"""【而且他长这样】加分10000倍 太帅了 火都是有原因的""",hld,29.5,0.3380170442108599,False
62,向沂可可,Wed Mar 18 12:38:41 +0800 2020,53,"""多一些了解和靠近这个只是坚持自己的热爱的大男孩吧 期待蔡PD 周四周六晚八点不见不散@蔡徐坤""",fashion,26.5,0.9993233633513855,False
63,我是CXK的小懒猪呀,Fri Apr 03 01:07:32 +0800 2020,51,"""我宝宝好开心呀""",xmtz,25.5,0.9639970584006357,True
64,kun式无语的浪漫,Wed Mar 18 12:36:01 +0800 2020,50,"""每个走过的经历都会变成财富——蔡徐坤""",fashion,25.0,0.9958980285698121,False
65,KUNdeforever,Thu Mar 12 22:18:07 +0800 2020,49,"""热爱本无罪，他只是一个喜欢打篮球的男孩""",qnjf,24.5,0.958591888065437,True
66,今迄,Thu Mar 12 21:52:50 +0800 2020,49,"""但就还觉得🤏油，如果能去掉这点油，那就很完美了 换个好的造型团队试一试吧""",hld,24.5,0.9177468415003714,False
67,蔡徐坤今天笑了吗·,Fri Apr 03 01:17:45 +0800 2020,48,"""听不到说什么呀""",xmtz,24.0,0.30444982431486745,True
68,尤崽泡泡,Fri Mar 13 00:39:28 +0800 2020,46,"""之前没看偶，也不是黑过蔡徐坤，顶多莫名其妙，有种迅速火爆凌空出世的感觉。后来看其他综艺喜欢上尤长靖，就看了偶练。仅一个初舞台，迅速对蔡徐坤改观，有一说一 ，看偶练第一眼我就觉得蔡徐坤是一百个人中的王者，后来才发觉，他不是凌空出世，而是籍籍无名时就已蓄势待发，只是眼拙的人没看到。""",hld,23.0,0.9999807464937084,False
69,葵葵早點睡才行,Thu Mar 12 22:18:27 +0800 2020,45,"""来了来了看蔡代表""",qnjf,22.5,0.9737680696522808,True
70,桥儿ikun,Wed Mar 18 12:39:13 +0800 2020,44,"""作品是最好的回应，蔡徐坤加油""",fashion,22.0,0.9969056914831246,False
71,阿顾啊顾吖,Thu Mar 12 22:19:54 +0800 2020,43,"""我的蔡pd！！啊啊啊他真的很温柔啊！！终于释然了！也更强大了！未来可期@蔡徐坤""",qnjf,21.5,0.9999909810197289,False
72,糕糕爱奎奎,Thu Mar 12 22:09:55 +0800 2020,43,"""颜值是他最不起眼的优点""",hld,21.5,0.6757177950096132,False
73,大奎葵花籽KUN,Wed Mar 18 12:35:25 +0800 2020,37,"""蔡徐坤舞台专注，作品是他的铠甲""",fashion,18.5,0.9926284589269468,True
