,Usename,Time,Like_count,Comments,blogger,sentiments,weight,isFan
70,八月邮递员,Thu Mar 12 13:02:31 +0800 2020,405.0,"""来了！来了！""",wyyl,0.5,202.5,True
71,27號宇宙_,Mon Mar 16 17:31:39 +0800 2020,405.0,"""蔡徐坤一路走过来太不容易了""",xlyl,0.8297771474744701,202.5,False
72,August_蓝玫瑰,Thu Mar 26 19:46:11 +0800 2020,404.0,"""蔡代表好可爱哦！""",wbzy,0.9742622181901532,202.0,False
73,黛粉的太阳葵,Sun Mar 15 13:35:41 +0800 2020,392.0,"""蔡PD严格认真又不失幽默@蔡徐坤""",xlzy,0.9992018203941189,196.0,False
74,KUN的Rock少女碎碎,Thu Mar 12 13:02:40 +0800 2020,376.0,"""蔡徐坤你说的对""",wyyl,0.721881236857999,188.0,True
75,SweetheartKUN_徐徐,Thu Mar 12 20:14:49 +0800 2020,358.0,"""只是和所有这个年纪的男孩子一样单纯热爱篮球罢了 热爱没有错""",mgyl,0.9985630396639402,179.0,True
76,吃菜菜不吃菜菜-,Thu Mar 26 19:49:40 +0800 2020,353.0,"""额外工作了！导演快给加工资！""",wbzy,0.9726323640505816,176.5,True
77,第802次心动_K,Mon Mar 16 17:36:47 +0800 2020,353.0,"""以前就很喜欢Ella，看到她跟蔡徐坤一起做节目感觉好棒，两个人都很优秀""",xlyl,0.9988722022851803,176.5,True
78,向沂可可,Sun Mar 15 13:38:34 +0800 2020,345.0,"""严格是真严格 温柔也是真的温柔 蔡PD👍""",xlzy,0.9904832295002588,172.5,False
79,压马路遇上烤冷面,Sun Mar 15 13:36:14 +0800 2020,340.0,"""温柔又严厉的蔡老师，继续发光吧  网页链接""",xlzy,0.9071898750687496,170.0,False
80,压马路遇上烤冷面,Sun Mar 15 13:36:14 +0800 2020,340.0,"""温柔又严厉的蔡老师，继续发光吧""",xlzy,0.9652887548213482,170.0,False
81,肥肥爱困,Thu Mar 26 19:46:04 +0800 2020,314.0,"""搬好小板凳啦，期待今晚，期待蔡PD""",wbzy,0.8401449342319698,157.0,True
82,清水悠哉,Sun Mar 15 13:41:57 +0800 2020,293.0,"""蔡徐坤：我现在会截图了。也就是说当时他确实不会""",xlzy,0.5340420662669597,146.5,False
83,xuanselfs,Mon Mar 16 17:33:01 +0800 2020,290.0,"""太喜欢ELLA的性格了！""",xlyl,0.5573774562921232,145.0,False
84,倪倪倪小美,Thu Mar 12 13:02:40 +0800 2020,286.0,"""期待期待，蔡徐坤太可爱了""",wyyl,0.9698684314173484,143.0,False
85,番茄与柚子qp,Thu Mar 12 20:16:36 +0800 2020,273.0,"""每一个了解他的人都会喜欢他""",mgyl,0.7592460240925132,136.5,False
86,mjy7joy,Mon Mar 16 18:05:58 +0800 2020,272.0,"""S.H.E也是标准女团上专业课拼命赶通告，但她们又不是流水线女团实力佳感情好，天时地利人和造就了空前绝后的她们，无可复制无可替代。""",xlyl,0.9999660846410262,136.0,False
87,奎葵向阳花,Sun Mar 15 13:39:22 +0800 2020,252.0,"""蔡徐坤pd评级风格:凌厉有温度，温柔有原则 一如他那个人，虽有棱角，却又不会锋芒毕露剑气凌人 """,xlzy,0.9994603843675945,126.0,True
88,蒸汽秋葵葵哟,Thu Mar 26 19:48:31 +0800 2020,247.0,"""嗷嗷嗷嗷比剪刀手的蔡pd太可爱啦""",wbzy,0.9526359100781464,123.5,True
89,小太阳o3o,Thu Mar 12 13:02:31 +0800 2020,239.0,"""来啦来啦""",wyyl,0.5262327818078083,119.5,False
90,小野loewe,Thu Mar 12 20:07:44 +0800 2020,236.0,"""其实他也挺温暖的吧""",mgyl,0.9749037660065974,118.0,False
91,壁咚蔡徐坤-,Thu Mar 12 20:03:48 +0800 2020,231.0,"""期待今晚的蔡pd！！！""",mgyl,0.8801996038068862,115.5,True
92,圆耳朵守护者,Thu Mar 12 13:02:27 +0800 2020,223.0,"""超喜欢这次的采访 喜欢喜欢""",wyyl,0.9512365376460773,111.5,False
93,纸飞机__0802,Mon Mar 16 17:35:07 +0800 2020,222.0,"""都是从苦经历过来的，蔡徐坤也是杀出了一条血路，未来会更好的""",xlyl,0.9978754865341039,111.0,True
